shortname,fullname,summary,category_path
docker-and-kubernetes-the-complete-guide,"Docker and Kubernetes: The Complete Guide","Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows","technology / docker"
photography-masterclass-complete-guide-to-photography,"Photography Masterclass: A Complete Guide to Photography","The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers","photography / photography-fundamentals"
"dslr-video-production-online-course-tutorial-training","DSLR Video Production - Start Shooting Better Video Today","Learn how to shoot beautiful video with your DSLR camera. This is the perfect video course for beginners and hobbyists.","photography / dslr"
"adobe-lightroom","Adobe Lightroom Classic CC & CC: Photo Editing Masterclass","Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!","photography / photography-tools"
"mobile-photography-masterclass-for-instagram","Mobile Photography Iphone and Android Masterclass","The best Iphone and Android photography class: Phone photography and editing with Snapseed and Lightroom free apps","photography / mobile-photography"
"affinity-photo-beginner-to-pro-via-reference-and-workflow","Affinity Photo: Beginner to Pro via Reference and Workflow","Master Affinity Photo - the tools, the techniques and the methods!","photography / affinity-photography"
emotional-intelligence-and-social-skills-online-course,"Master Your Emotions and Revolutionise Your Social Skills","Build Strong Communication Skills, High-Impact Social Skills, Build Your Social Confidence & Transform Your Self Esteem","personal-development / social-skills"
"master-your-emotions-uncertainty-stress-anxiety-and-fear","Emotional Intelligence: Master Anxiety, Fear, & Emotions","Emotional Intelligence: Techniques for Recognizing, Overcoming, & Coping with Negative Emotions like Anxiety & Fear","personal-development / emotional-intelligence"
"essential-cooking-skills","Essential Cooking Skills","Cook like a pro, master the basic techniques used in the World's culinary industry! Key Techniques - Part 1","lifestyle / food-and-beverage / cooking"
"up-beet-cooking-fundamentals","Healthy Cooking Fundamentals","A practical course to take your cooking skills from dull to delicious","lifestyle / food-and-beverage / cooking"
"cooktour-thai-cooking-masterclass","Interactive Thai Cooking Class","Learn to how cook better than restaurant Thai food as you discover new ingredients and elevate your cooking skills","lifestyle / food-and-beverage / cooking"